urls,title,company_name,experience,location,keyskills
https://www.naukri.com/job-listings-application-modernization-mainframe-lead-wp-092-krazy-mantra-hr-solutions-pvt-ltd-pune-bengaluru-bangalore-5-to-8-years-181120006312?src=jobsearchDesk&sid=16068097239945666&xp=6&px=4,Application Modernization - Mainframe-Lead (WP-092),Krazy Mantra HR Solutions Pvt. Ltd,5-8 Yrs,"Pune, Bengaluru","Modernization,JCL,Db2,Cobol,IMS DB,Modernisation - Mainframe"
https://www.naukri.com/job-listings-mainframe-developer-unit-force-technologies-consulting-pvt-ltd-bengaluru-bangalore-2-to-6-years-291118600446?src=jobsearchDesk&sid=16068097239945666&xp=7&px=4,mainframe developer,Unit Force Technologies Consulting Pvt Ltd.,2-6 Yrs,Bengaluru,"JCL,Db2,Cobol,IMS"
https://www.naukri.com/job-listings-tech-lead-mainframe-legato-health-technologies-llp-bengaluru-bangalore-8-to-10-years-101120905266?src=jobsearchDesk&sid=16068097239945666&xp=8&px=4,Tech Lead - Mainframe,Legato Health Technologies LLP,8-10 Yrs,Bengaluru,"DIV,JCL,Streamweaver,Db2,REXX,Changeman,SAR,Cobol"
https://www.naukri.com/job-listings-mainframe-diverse-lynx-bengaluru-bangalore-2-to-7-years-230320500694?src=jobsearchDesk&sid=16068097239945666&xp=9&px=4,Mainframe,Diverse Lynx,2-7 Yrs,Bengaluru,"IT Skills,Mainframe,JCL,Db2,Cobol,Test execution,Test scenarios,Test cases"
https://www.naukri.com/job-listings-mainframe-test-analyst-diverse-lynx-bengaluru-bangalore-2-to-6-years-230320501421?src=jobsearchDesk&sid=16068097239945666&xp=10&px=4,Mainframe Test Analyst,Diverse Lynx,2-6 Yrs,Bengaluru,"IT Skills,Mainframe,JCL,Db2,Cobol,Test Analyst"
https://www.naukri.com/job-listings-mainframe-production-support-diverse-lynx-bengaluru-bangalore-2-to-6-years-230320500962?src=jobsearchDesk&sid=16068097239945666&xp=11&px=4,Mainframe Production support,Diverse Lynx,2-6 Yrs,Bengaluru,"IT Skills,Mainframe,ProC,JCL,Production support,Db2,Cobol"
https://www.naukri.com/job-listings-mainframe-operation-diverse-lynx-bengaluru-bangalore-4-to-5-years-180320502396?src=jobsearchDesk&sid=16068097239945666&xp=12&px=4,Mainframe Operation,Diverse Lynx,4-5 Yrs,Bengaluru,"IT Skills,Quality Assurance,JCL,Manager Quality Assurance,Db2,Analytical,Debugging,Banking"
https://www.naukri.com/job-listings-mainframe-support-diverse-lynx-bengaluru-bangalore-3-to-6-years-180320502346?src=jobsearchDesk&sid=16068097239945666&xp=13&px=4,Mainframe Support,Diverse Lynx,3-6 Yrs,Bengaluru,"IT Skills,Quality Assurance,JCL,Manager Quality Assurance,Db2,Analytical,Debugging,Banking"
https://www.naukri.com/job-listings-mainframe-prod-support-diverse-lynx-bengaluru-bangalore-8-to-10-years-180320501132?src=jobsearchDesk&sid=16068097239945666&xp=14&px=4,Mainframe Prod Support,Diverse Lynx,8-10 Yrs,Bengaluru,"IT Skills,Mainframe,Root cause analysis,JCL,ISPF,Production support,Db2,Control system"
https://www.naukri.com/job-listings-mainframe-operation-diverse-lynx-bengaluru-bangalore-2-to-7-years-150620501469?src=jobsearchDesk&sid=16068097239945666&xp=15&px=4,Mainframe Operation,Diverse Lynx,2-7 Yrs,Bengaluru,"IT Skills,Mainframe,JCL,Service level,ESP,JES2,Scheduling,Hardware"
https://www.naukri.com/job-listings-mainframe-cobol-diverse-lynx-bengaluru-bangalore-6-to-9-years-070520500035?src=jobsearchDesk&sid=16068097239945666&xp=16&px=4,"mainframe, Cobol",Diverse Lynx,6-9 Yrs,Bengaluru,"IT Skills,Java,Mainframe,Cics,Cobol"
https://www.naukri.com/job-listings-mainframe-cobol-diverse-lynx-bengaluru-bangalore-3-to-7-years-230320501024?src=jobsearchDesk&sid=16068097239945666&xp=17&px=4,Mainframe - Cobol,Diverse Lynx,3-7 Yrs,Bengaluru,"Analytical skills,JCL,Db2,Cobol,Agile,Manager Technology,SDLC"
https://www.naukri.com/job-listings-lead-sme-ingenium-mainframe-9-to-15-yrs-c2h-gsn-consulting-chennai-mumbai-bengaluru-bangalore-9-to-14-years-261020001698?src=jobsearchDesk&sid=16068097239945666&xp=18&px=4,"LEAD / SME - INGENIUM, Mainframe - 9 To 15 yrs - C2H",GSN Consulting,9-14 Yrs,"Chennai, Mumbai, Bengaluru","work from home,INGENIUM,LOMA,Life Insurance,REXX,COBOL,policy administration system,Ingenium policy administration system"
https://www.naukri.com/job-listings-mainframe-permanent-bangalore-chennai-pune-sharp-gaze-tech-services-pvt-ltd-chennai-pune-mumbai-bengaluru-bangalore-gurgaon-5-to-9-years-151020604487?src=jobsearchDesk&sid=16068097239945666&xp=19&px=4,Mainframe- - Permanent - Bangalore/Chennai/Pune,Sharp Gaze Tech Services Pvt Ltd,5-9 Yrs,"Chennai, Pune, Mumbai, Bengaluru, Gurgaon","Capital Market,JCL,Db2,Finance,Cobol,Trading"
